_id,DATUM,IME_PRAZNIKA,DAN_V_TEDNU,DELA_PROST_DAN,DAN,MESEC,LETO
242,2014-04-27T00:00:00,dan boja proti okupatorju ,nedelja,da,27,4,2014
243,2014-01-05T00:00:00,praznik dela,četrtek,da,1,5,2014
244,2014-02-05T00:00:00,praznik dela,petek,da,2,5,2014
245,2014-08-06T00:00:00,binkoštna nedelja,nedelja,da,8,6,2014
246,2014-08-06T00:00:00,dan Primoža Trubarja,nedelja,ne,8,6,2014
247,2014-06-25T00:00:00,dan državnosti,sreda,da,25,6,2014
248,2014-08-15T00:00:00,Marijino vnebovzetje,petek,da,15,8,2014
249,2014-08-17T00:00:00,združitev prekmurskih Slovencev z matičnim narodom,nedelja,ne ,17,8,2014
250,2014-09-15T00:00:00,vrnitev Primorske k matični domovini,ponedeljek,ne,15,9,2014
251,2014-10-31T00:00:00,dan reformacije,petek,da,31,10,2014
252,2014-01-11T00:00:00,dan spomina na mrtve,sobota,da,1,11,2014
253,2014-11-23T00:00:00,dan Rudolfa Maistra,nedelja,ne,23,11,2014
254,2014-12-25T00:00:00,božič,četrtek,da,25,12,2014
255,2014-12-26T00:00:00,dan samostojnosti in enotnosti,petek,da,26,12,2014
256,2015-01-01T00:00:00,novo leto,četrtek,da,1,1,2015
257,2015-08-02T00:00:00,"Prešernov dan, slovenski kulturni praznik",nedelja,da,8,2,2015
258,2015-05-04T00:00:00,velika noč,nedelja,da,5,4,2015
259,2015-06-04T00:00:00,velikonočni ponedeljek,ponedeljek,da,6,4,2015
260,2015-04-27T00:00:00,dan boja proti okupatorju ,ponedeljek,da,27,4,2015
261,2015-01-05T00:00:00,praznik dela,petek,da,1,5,2015
262,2015-02-05T00:00:00,praznik dela,sobota,da,2,5,2015
263,2015-05-24T00:00:00,binkoštna nedelja,nedelja,da,24,5,2015
264,2015-08-06T00:00:00,dan Primoža Trubarja,ponedeljek,ne,8,6,2015
265,2015-06-25T00:00:00,dan državnosti,četrtek,da,25,6,2015
266,2015-08-15T00:00:00,Marijino vnebovzetje,sobota,da,15,8,2015
267,2015-08-17T00:00:00,združitev prekmurskih Slovencev z matičnim narodom,ponedeljek,ne ,17,8,2015
268,2015-09-15T00:00:00,vrnitev Primorske k matični domovini,torek,ne,15,9,2015
269,2015-10-25T00:00:00,dan suverenosti,nedelja,ne ,25,10,2015
270,2015-10-31T00:00:00,dan reformacije,sobota,da,31,10,2015
271,2015-01-11T00:00:00,dan spomina na mrtve,nedelja,da,1,11,2015
272,2015-11-23T00:00:00,dan Rudolfa Maistra,ponedeljek,ne,23,11,2015
273,2015-12-25T00:00:00,božič,petek,da,25,12,2015
274,2015-12-26T00:00:00,dan samostojnosti in enotnosti,sobota,da,26,12,2015
275,2016-01-01T00:00:00,novo leto,petek,da,1,1,2016
276,2016-08-02T00:00:00,"Prešernov dan, slovenski kulturni praznik",ponedeljek,da,8,2,2016
277,2016-03-27T00:00:00,velika noč,nedelja,da,27,3,2016
278,2016-03-28T00:00:00,velikonočni ponedeljek,ponedeljek,da,28,3,2016
279,2016-04-27T00:00:00,dan boja proti okupatorju ,sreda,da,27,4,2016
280,2016-01-05T00:00:00,praznik dela,nedelja,da,1,5,2016
281,2016-02-05T00:00:00,praznik dela,ponedeljek,da,2,5,2016
282,2016-05-15T00:00:00,binkoštna nedelja,nedelja,da,15,5,2016
283,2016-08-06T00:00:00,dan Primoža Trubarja,sreda,ne,8,6,2016
284,2016-06-25T00:00:00,dan državnosti,sobota,da,25,6,2016
285,2016-08-15T00:00:00,Marijino vnebovzetje,ponedeljek,da,15,8,2016
286,2016-08-17T00:00:00,združitev prekmurskih Slovencev z matičnim narodom,sreda,ne ,17,8,2016
287,2016-09-15T00:00:00,vrnitev Primorske k matični domovini,četrtek,ne,15,9,2016
288,2016-10-25T00:00:00,dan suverenosti,torek,ne ,25,10,2016
289,2016-10-31T00:00:00,dan reformacije,ponedeljek,da,31,10,2016
290,2016-01-11T00:00:00,dan spomina na mrtve,torek,da,1,11,2016
291,2016-11-23T00:00:00,dan Rudolfa Maistra,sreda,ne,23,11,2016
292,2016-12-25T00:00:00,božič,nedelja,da,25,12,2016
293,2016-12-26T00:00:00,dan samostojnosti in enotnosti,ponedeljek,da,26,12,2016
294,2017-01-01T00:00:00,novo leto,nedelja,da,1,1,2017
295,2017-02-01T00:00:00,novo leto,ponedeljek,da,2,1,2017
296,2017-08-02T00:00:00,"Prešernov dan, slovenski kulturni praznik",sreda,da,8,2,2017
297,2017-04-16T00:00:00,velika noč,nedelja,da,16,4,2017
298,2017-04-17T00:00:00,velikonočni ponedeljek,ponedeljek,da,17,4,2017
299,2017-04-27T00:00:00,dan boja proti okupatorju ,četrtek,da,27,4,2017
300,2017-01-05T00:00:00,praznik dela,ponedeljek,da,1,5,2017
301,2017-02-05T00:00:00,praznik dela,torek,da,2,5,2017
302,2017-04-06T00:00:00,binkoštna nedelja,nedelja,da,4,6,2017
303,2017-08-06T00:00:00,dan Primoža Trubarja,četrtek,ne,8,6,2017
304,2017-06-25T00:00:00,dan državnosti,nedelja,da,25,6,2017
305,2017-08-15T00:00:00,Marijino vnebovzetje,torek,da,15,8,2017
306,2017-08-17T00:00:00,združitev prekmurskih Slovencev z matičnim narodom,četrtek,ne ,17,8,2017
307,2017-09-15T00:00:00,vrnitev Primorske k matični domovini,petek,ne,15,9,2017
308,2017-10-25T00:00:00,dan suverenosti,sreda,ne ,25,10,2017
309,2017-10-31T00:00:00,dan reformacije,torek,da,31,10,2017
310,2017-01-11T00:00:00,dan spomina na mrtve,sreda,da,1,11,2017
311,2017-11-23T00:00:00,dan Rudolfa Maistra,četrtek,ne,23,11,2017
312,2017-12-25T00:00:00,božič,ponedeljek,da,25,12,2017
313,2017-12-26T00:00:00,dan samostojnosti in enotnosti,torek,da,26,12,2017
314,2018-01-01T00:00:00,novo leto,ponedeljek,da,1,1,2018
315,2018-02-01T00:00:00,novo leto,torek,da,2,1,2018
316,2018-08-02T00:00:00,"Prešernov dan, slovenski kulturni praznik",četrtek,da,8,2,2018
317,2018-01-04T00:00:00,velika noč,nedelja,da,1,4,2018
318,2018-02-04T00:00:00,velikonočni ponedeljek,ponedeljek,da,2,4,2018
319,2018-04-27T00:00:00,dan boja proti okupatorju ,petek,da,27,4,2018
320,2018-01-05T00:00:00,praznik dela,torek,da,1,5,2018
321,2018-02-05T00:00:00,praznik dela,sreda,da,2,5,2018
322,2018-05-20T00:00:00,binkoštna nedelja,nedelja,da,20,5,2018
323,2018-08-06T00:00:00,dan Primoža Trubarja,petek,ne,8,6,2018
324,2018-06-25T00:00:00,dan državnosti,ponedeljek,da,25,6,2018
325,2018-08-15T00:00:00,Marijino vnebovzetje,sreda,da,15,8,2018
326,2018-08-17T00:00:00,združitev prekmurskih Slovencev z matičnim narodom,petek,ne ,17,8,2018
327,2018-09-15T00:00:00,vrnitev Primorske k matični domovini,sobota,ne,15,9,2018
328,2018-10-25T00:00:00,dan suverenosti,četrtek,ne ,25,10,2018
329,2018-10-31T00:00:00,dan reformacije,sreda,da,31,10,2018
330,2018-01-11T00:00:00,dan spomina na mrtve,četrtek,da,1,11,2018
331,2018-11-23T00:00:00,dan Rudolfa Maistra,petek,ne,23,11,2018
332,2018-12-25T00:00:00,božič,torek,da,25,12,2018
333,2018-12-26T00:00:00,dan samostojnosti in enotnosti,sreda,da,26,12,2018
334,2019-01-01T00:00:00,novo leto,torek,da,1,1,2019
335,2019-02-01T00:00:00,novo leto,sreda,da,2,1,2019
336,2019-08-02T00:00:00,"Prešernov dan, slovenski kulturni praznik",petek,da,8,2,2019
337,2019-04-21T00:00:00,velika noč,nedelja,da,21,4,2019
338,2019-04-22T00:00:00,velikonočni ponedeljek,ponedeljek,da,22,4,2019
339,2019-04-27T00:00:00,dan boja proti okupatorju ,sobota,da,27,4,2019
340,2019-01-05T00:00:00,praznik dela,sreda,da,1,5,2019
341,2019-02-05T00:00:00,praznik dela,četrtek,da,2,5,2019
342,2019-09-06T00:00:00,binkoštna nedelja,nedelja,da,9,6,2019
343,2019-08-06T00:00:00,dan Primoža Trubarja,sobota,ne,8,6,2019
344,2019-06-25T00:00:00,dan državnosti,torek,da,25,6,2019
345,2019-08-15T00:00:00,Marijino vnebovzetje,četrtek,da,15,8,2019
346,2019-08-17T00:00:00,združitev prekmurskih Slovencev z matičnim narodom,sobota,ne ,17,8,2019
347,2019-09-15T00:00:00,vrnitev Primorske k matični domovini,nedelja,ne,15,9,2019
348,2019-10-25T00:00:00,dan suverenosti,petek,ne ,25,10,2019
349,2019-10-31T00:00:00,dan reformacije,četrtek,da,31,10,2019
350,2019-01-11T00:00:00,dan spomina na mrtve,petek,da,1,11,2019
351,2019-11-23T00:00:00,dan Rudolfa Maistra,sobota,ne,23,11,2019
352,2019-12-25T00:00:00,božič,sreda,da,25,12,2019
